observer,label,microstates,conditional_entropy_bits,bayes_cell_error_fraction
block_counts_boundary,1:2:2:3:24,8,3.0,0.375
block_counts_boundary,1:2:3:2:12,16,4.0,0.375
block_counts_boundary,1:2:3:2:14,40,5.321928094887363,0.375
block_counts_boundary,1:2:3:2:16,152,7.247927513443585,0.375
block_counts_boundary,1:2:3:2:18,200,7.643856189774724,0.375
block_counts_boundary,1:2:3:2:20,116,6.857980995127572,0.375
block_counts_boundary,1:2:3:2:22,44,5.459431618637297,0.375
block_counts_boundary,1:2:3:2:24,4,2.0,0.375
block_counts_boundary,1:2:3:2:26,4,2.0,0.375
block_counts_boundary,1:2:4:1:14,16,4.0,0.25
block_counts_boundary,1:2:4:1:16,40,5.321928094887363,0.25
block_counts_boundary,1:2:4:1:18,32,5.0,0.25
block_counts_boundary,1:2:4:1:20,8,3.0,0.25
block_counts_boundary,1:3:0:4:12,12,3.584962500721156,0.125
block_counts_boundary,1:3:0:4:14,4,2.0,0.125
block_counts_boundary,1:3:1:3:12,12,3.584962500721156,0.25
block_counts_boundary,1:3:1:3:14,48,5.584962500721156,0.25
block_counts_boundary,1:3:1:3:16,136,7.087462841250339,0.25
block_counts_boundary,1:3:1:3:18,48,5.584962500721156,0.25
block_counts_boundary,1:3:1:3:20,12,3.584962500721156,0.25
block_counts_boundary,1:3:2:2:12,16,4.0,0.375
block_counts_boundary,1:3:2:2:14,40,5.321928094887363,0.375
block_counts_boundary,1:3:2:2:16,152,7.247927513443585,0.375
block_counts_boundary,1:3:2:2:18,200,7.643856189774724,0.375
block_counts_boundary,1:3:2:2:20,116,6.857980995127572,0.375
block_counts_boundary,1:3:2:2:22,44,5.459431618637297,0.375
block_counts_boundary,1:3:2:2:24,4,2.0,0.375
block_counts_boundary,1:3:2:2:26,4,2.0,0.375
block_counts_boundary,1:3:3:1:16,84,6.392317422778761,0.25
block_counts_boundary,1:3:3:1:18,96,6.584962500721156,0.25
block_counts_boundary,1:3:3:1:20,72,6.169925001442312,0.25
block_counts_boundary,1:3:3:1:24,4,2.0,0.25
block_counts_boundary,1:3:4:0:16,12,3.584962500721156,0.125
block_counts_boundary,1:3:4:0:18,4,2.0,0.125
block_counts_boundary,1:4:0:3:12,16,4.0,0.125
block_counts_boundary,1:4:1:2:12,8,3.0,0.25
block_counts_boundary,1:4:1:2:14,36,5.169925001442312,0.25
block_counts_boundary,1:4:1:2:16,40,5.321928094887363,0.25
block_counts_boundary,1:4:1:2:18,12,3.584962500721156,0.25
block_counts_boundary,1:4:2:1:14,16,4.0,0.25
block_counts_boundary,1:4:2:1:16,40,5.321928094887363,0.25
block_counts_boundary,1:4:2:1:18,32,5.0,0.25
block_counts_boundary,1:4:2:1:20,8,3.0,0.25
block_counts_boundary,1:4:3:0:16,12,3.584962500721156,0.125
block_counts_boundary,1:4:3:0:18,4,2.0,0.125
block_counts_boundary,2:0:2:4:12,4,2.0,0.25
block_counts_boundary,2:0:2:4:14,8,3.0,0.25
block_counts_boundary,2:0:2:4:16,22,4.459431618637297,0.25
block_counts_boundary,2:0:2:4:20,2,1.0,0.25
block_counts_boundary,2:0:3:3:12,8,3.0,0.25
block_counts_boundary,2:0:3:3:14,36,5.169925001442312,0.25
block_counts_boundary,2:0:3:3:16,40,5.321928094887363,0.25
block_counts_boundary,2:0:3:3:18,12,3.584962500721156,0.25
block_counts_boundary,2:0:4:2:12,16,4.0,0.25
block_counts_boundary,2:0:4:2:14,16,4.0,0.25
block_counts_boundary,2:0:4:2:16,4,2.0,0.25
block_counts_boundary,2:1:1:4:14,16,4.0,0.25
block_counts_boundary,2:1:1:4:16,40,5.321928094887363,0.25
block_counts_boundary,2:1:1:4:18,32,5.0,0.25
block_counts_boundary,2:1:1:4:20,8,3.0,0.25
block_counts_boundary,2:1:2:3:12,16,4.0,0.375
block_counts_boundary,2:1:2:3:14,40,5.321928094887363,0.375
block_counts_boundary,2:1:2:3:16,152,7.247927513443585,0.375
block_counts_boundary,2:1:2:3:18,200,7.643856189774724,0.375
block_counts_boundary,2:1:2:3:20,116,6.857980995127572,0.375
block_counts_boundary,2:1:2:3:22,44,5.459431618637297,0.375
block_counts_boundary,2:1:2:3:24,4,2.0,0.375
block_counts_boundary,2:1:2:3:26,4,2.0,0.375
block_counts_boundary,2:1:3:2:12,24,4.584962500721156,0.375
block_counts_boundary,2:1:3:2:14,48,5.584962500721156,0.375
block_counts_boundary,2:1:3:2:16,216,7.754887502163468,0.375
block_counts_boundary,2:1:3:2:18,128,7.0,0.375
block_counts_boundary,2:1:3:2:20,136,7.087462841250339,0.375
block_counts_boundary,2:1:3:2:22,16,4.0,0.375
block_counts_boundary,2:1:3:2:24,8,3.0,0.375
block_counts_boundary,2:1:4:1:12,8,3.0,0.25
block_counts_boundary,2:1:4:1:14,36,5.169925001442312,0.25
block_counts_boundary,2:1:4:1:16,40,5.321928094887363,0.25
block_counts_boundary,2:1:4:1:18,12,3.584962500721156,0.25
block_counts_boundary,2:2:0:4:12,4,2.0,0.25
block_counts_boundary,2:2:0:4:14,8,3.0,0.25
block_counts_boundary,2:2:0:4:16,22,4.459431618637297,0.25
block_counts_boundary,2:2:0:4:20,2,1.0,0.25
block_counts_boundary,2:2:1:3:12,16,4.0,0.375
block_counts_boundary,2:2:1:3:14,40,5.321928094887363,0.375
block_counts_boundary,2:2:1:3:16,152,7.247927513443585,0.375
block_counts_boundary,2:2:1:3:18,200,7.643856189774724,0.375
block_counts_boundary,2:2:1:3:20,116,6.857980995127572,0.375
block_counts_boundary,2:2:1:3:22,44,5.459431618637297,0.375
block_counts_boundary,2:2:1:3:24,4,2.0,0.375
block_counts_boundary,2:2:1:3:26,4,2.0,0.375
block_counts_boundary,2:2:2:2:8,4,2.0,0.5
block_counts_boundary,2:2:2:2:12,48,5.584962500721156,0.5
block_counts_boundary,2:2:2:2:14,32,5.0,0.5
block_counts_boundary,2:2:2:2:16,314,8.294620748891626,0.5
block_counts_boundary,2:2:2:2:18,288,8.169925001442312,0.5
block_counts_boundary,2:2:2:2:20,368,8.523561956057012,0.5
block_counts_boundary,2:2:2:2:22,160,7.321928094887363,0.5
block_counts_boundary,2:2:2:2:24,48,5.584962500721156,0.5
block_counts_boundary,2:2:2:2:26,32,5.0,0.5
block_counts_boundary,2:2:2:2:32,2,1.0,0.5
block_counts_boundary,2:2:3:1:12,16,4.0,0.375
block_counts_boundary,2:2:3:1:14,40,5.321928094887363,0.375
block_counts_boundary,2:2:3:1:16,152,7.247927513443585,0.375
block_counts_boundary,2:2:3:1:18,200,7.643856189774724,0.375
block_counts_boundary,2:2:3:1:20,116,6.857980995127572,0.375
block_counts_boundary,2:2:3:1:22,44,5.459431618637297,0.375
block_counts_boundary,2:2:3:1:24,4,2.0,0.375
block_counts_boundary,2:2:3:1:26,4,2.0,0.375
block_counts_boundary,2:2:4:0:12,4,2.0,0.25
block_counts_boundary,2:2:4:0:14,8,3.0,0.25
block_counts_boundary,2:2:4:0:16,22,4.459431618637297,0.25
block_counts_boundary,2:2:4:0:20,2,1.0,0.25
block_counts_boundary,2:3:0:3:12,8,3.0,0.25
block_counts_boundary,2:3:0:3:14,36,5.169925001442312,0.25
block_counts_boundary,2:3:0:3:16,40,5.321928094887363,0.25
block_counts_boundary,2:3:0:3:18,12,3.584962500721156,0.25
block_counts_boundary,2:3:1:2:12,24,4.584962500721156,0.375
block_counts_boundary,2:3:1:2:14,48,5.584962500721156,0.375
block_counts_boundary,2:3:1:2:16,216,7.754887502163468,0.375
block_counts_boundary,2:3:1:2:18,128,7.0,0.375
block_counts_boundary,2:3:1:2:20,136,7.087462841250339,0.375
block_counts_boundary,2:3:1:2:22,16,4.0,0.375
block_counts_boundary,2:3:1:2:24,8,3.0,0.375
block_counts_boundary,2:3:2:1:12,16,4.0,0.375
block_counts_boundary,2:3:2:1:14,40,5.321928094887363,0.375
block_counts_boundary,2:3:2:1:16,152,7.247927513443585,0.375
block_counts_boundary,2:3:2:1:18,200,7.643856189774724,0.375
block_counts_boundary,2:3:2:1:20,116,6.857980995127572,0.375
block_counts_boundary,2:3:2:1:22,44,5.459431618637297,0.375
block_counts_boundary,2:3:2:1:24,4,2.0,0.375
block_counts_boundary,2:3:2:1:26,4,2.0,0.375
block_counts_boundary,2:3:3:0:14,16,4.0,0.25
block_counts_boundary,2:3:3:0:16,40,5.321928094887363,0.25
block_counts_boundary,2:3:3:0:18,32,5.0,0.25
block_counts_boundary,2:3:3:0:20,8,3.0,0.25
block_counts_boundary,2:4:0:2:12,16,4.0,0.25
block_counts_boundary,2:4:0:2:14,16,4.0,0.25
block_counts_boundary,2:4:0:2:16,4,2.0,0.25
block_counts_boundary,2:4:1:1:12,8,3.0,0.25
block_counts_boundary,2:4:1:1:14,36,5.169925001442312,0.25
block_counts_boundary,2:4:1:1:16,40,5.321928094887363,0.25
block_counts_boundary,2:4:1:1:18,12,3.584962500721156,0.25
block_counts_boundary,2:4:2:0:12,4,2.0,0.25
block_counts_boundary,2:4:2:0:14,8,3.0,0.25
block_counts_boundary,2:4:2:0:16,22,4.459431618637297,0.25
block_counts_boundary,2:4:2:0:20,2,1.0,0.25
block_counts_boundary,3:0:1:4:16,12,3.584962500721156,0.125
block_counts_boundary,3:0:1:4:18,4,2.0,0.125
block_counts_boundary,3:0:2:3:14,16,4.0,0.25
block_counts_boundary,3:0:2:3:16,40,5.321928094887363,0.25
block_counts_boundary,3:0:2:3:18,32,5.0,0.25
block_counts_boundary,3:0:2:3:20,8,3.0,0.25
block_counts_boundary,3:0:3:2:12,8,3.0,0.25
block_counts_boundary,3:0:3:2:14,36,5.169925001442312,0.25
block_counts_boundary,3:0:3:2:16,40,5.321928094887363,0.25
block_counts_boundary,3:0:3:2:18,12,3.584962500721156,0.25
block_counts_boundary,3:0:4:1:12,16,4.0,0.125
block_counts_boundary,3:1:0:4:16,12,3.584962500721156,0.125
block_counts_boundary,3:1:0:4:18,4,2.0,0.125
block_counts_boundary,3:1:1:3:16,84,6.392317422778761,0.25
block_counts_boundary,3:1:1:3:18,96,6.584962500721156,0.25
block_counts_boundary,3:1:1:3:20,72,6.169925001442312,0.25
block_counts_boundary,3:1:1:3:24,4,2.0,0.25
block_counts_boundary,3:1:2:2:12,16,4.0,0.375
block_counts_boundary,3:1:2:2:14,40,5.321928094887363,0.375
block_counts_boundary,3:1:2:2:16,152,7.247927513443585,0.375
block_counts_boundary,3:1:2:2:18,200,7.643856189774724,0.375
block_counts_boundary,3:1:2:2:20,116,6.857980995127572,0.375
block_counts_boundary,3:1:2:2:22,44,5.459431618637297,0.375
block_counts_boundary,3:1:2:2:24,4,2.0,0.375
block_counts_boundary,3:1:2:2:26,4,2.0,0.375
block_counts_boundary,3:1:3:1:12,12,3.584962500721156,0.25
block_counts_boundary,3:1:3:1:14,48,5.584962500721156,0.25
block_counts_boundary,3:1:3:1:16,136,7.087462841250339,0.25
block_counts_boundary,3:1:3:1:18,48,5.584962500721156,0.25
block_counts_boundary,3:1:3:1:20,12,3.584962500721156,0.25
block_counts_boundary,3:1:4:0:12,12,3.584962500721156,0.125
block_counts_boundary,3:1:4:0:14,4,2.0,0.125
block_counts_boundary,3:2:0:3:14,16,4.0,0.25
block_counts_boundary,3:2:0:3:16,40,5.321928094887363,0.25
block_counts_boundary,3:2:0:3:18,32,5.0,0.25
block_counts_boundary,3:2:0:3:20,8,3.0,0.25
block_counts_boundary,3:2:1:2:12,16,4.0,0.375
block_counts_boundary,3:2:1:2:14,40,5.321928094887363,0.375
block_counts_boundary,3:2:1:2:16,152,7.247927513443585,0.375
block_counts_boundary,3:2:1:2:18,200,7.643856189774724,0.375
block_counts_boundary,3:2:1:2:20,116,6.857980995127572,0.375
block_counts_boundary,3:2:1:2:22,44,5.459431618637297,0.375
block_counts_boundary,3:2:1:2:24,4,2.0,0.375
block_counts_boundary,3:2:1:2:26,4,2.0,0.375
block_counts_boundary,3:2:2:1:12,24,4.584962500721156,0.375
block_counts_boundary,3:2:2:1:14,48,5.584962500721156,0.375
block_counts_boundary,3:2:2:1:16,216,7.754887502163468,0.375
block_counts_boundary,3:2:2:1:18,128,7.0,0.375
block_counts_boundary,3:2:2:1:20,136,7.087462841250339,0.375
block_counts_boundary,3:2:2:1:22,16,4.0,0.375
block_counts_boundary,3:2:2:1:24,8,3.0,0.375
block_counts_boundary,3:2:3:0:12,8,3.0,0.25
block_counts_boundary,3:2:3:0:14,36,5.169925001442312,0.25
block_counts_boundary,3:2:3:0:16,40,5.321928094887363,0.25
block_counts_boundary,3:2:3:0:18,12,3.584962500721156,0.25
block_counts_boundary,3:3:0:2:12,8,3.0,0.25
block_counts_boundary,3:3:0:2:14,36,5.169925001442312,0.25
block_counts_boundary,3:3:0:2:16,40,5.321928094887363,0.25
block_counts_boundary,3:3:0:2:18,12,3.584962500721156,0.25
block_counts_boundary,3:3:1:1:12,12,3.584962500721156,0.25
block_counts_boundary,3:3:1:1:14,48,5.584962500721156,0.25
block_counts_boundary,3:3:1:1:16,136,7.087462841250339,0.25
block_counts_boundary,3:3:1:1:18,48,5.584962500721156,0.25
block_counts_boundary,3:3:1:1:20,12,3.584962500721156,0.25
block_counts_boundary,3:3:2:0:12,8,3.0,0.25
block_counts_boundary,3:3:2:0:14,36,5.169925001442312,0.25
block_counts_boundary,3:3:2:0:16,40,5.321928094887363,0.25
block_counts_boundary,3:3:2:0:18,12,3.584962500721156,0.25
block_counts_boundary,3:4:0:1:12,16,4.0,0.125
block_counts_boundary,3:4:1:0:12,12,3.584962500721156,0.125
block_counts_boundary,3:4:1:0:14,4,2.0,0.125
block_counts_boundary,4:0:0:4:16,1,0.0,0.0
block_counts_boundary,4:0:1:3:16,12,3.584962500721156,0.125
block_counts_boundary,4:0:1:3:18,4,2.0,0.125
block_counts_boundary,4:0:2:2:12,4,2.0,0.25
block_counts_boundary,4:0:2:2:14,8,3.0,0.25
block_counts_boundary,4:0:2:2:16,22,4.459431618637297,0.25
block_counts_boundary,4:0:2:2:20,2,1.0,0.25
block_counts_boundary,4:0:3:1:12,12,3.584962500721156,0.125
block_counts_boundary,4:0:3:1:14,4,2.0,0.125
block_counts_boundary,4:0:4:0:8,1,0.0,0.0
block_counts_boundary,4:1:0:3:16,12,3.584962500721156,0.125
block_counts_boundary,4:1:0:3:18,4,2.0,0.125
block_counts_boundary,4:1:1:2:14,16,4.0,0.25
block_counts_boundary,4:1:1:2:16,40,5.321928094887363,0.25
block_counts_boundary,4:1:1:2:18,32,5.0,0.25
block_counts_boundary,4:1:1:2:20,8,3.0,0.25
block_counts_boundary,4:1:2:1:12,8,3.0,0.25
block_counts_boundary,4:1:2:1:14,36,5.169925001442312,0.25
block_counts_boundary,4:1:2:1:16,40,5.321928094887363,0.25
block_counts_boundary,4:1:2:1:18,12,3.584962500721156,0.25
block_counts_boundary,4:1:3:0:12,16,4.0,0.125
block_counts_boundary,4:2:0:2:12,4,2.0,0.25
block_counts_boundary,4:2:0:2:14,8,3.0,0.25
block_counts_boundary,4:2:0:2:16,22,4.459431618637297,0.25
block_counts_boundary,4:2:0:2:20,2,1.0,0.25
block_counts_boundary,4:2:1:1:12,8,3.0,0.25
block_counts_boundary,4:2:1:1:14,36,5.169925001442312,0.25
block_counts_boundary,4:2:1:1:16,40,5.321928094887363,0.25
block_counts_boundary,4:2:1:1:18,12,3.584962500721156,0.25
block_counts_boundary,4:2:2:0:12,16,4.0,0.25
block_counts_boundary,4:2:2:0:14,16,4.0,0.25
block_counts_boundary,4:2:2:0:16,4,2.0,0.25
block_counts_boundary,4:3:0:1:12,12,3.584962500721156,0.125
block_counts_boundary,4:3:0:1:14,4,2.0,0.125
block_counts_boundary,4:3:1:0:12,16,4.0,0.125
block_counts_boundary,4:4:0:0:8,1,0.0,0.0
