domain,beta,beta_ci_lower,beta_ci_upper,beta_ci_width,theta,r_squared,delta_aic,source,domain_cluster,phi_attractor,phi_value,phi_distance,phi_match_percent,alpha_hypothetical_inverse,alpha_hypothetical_scaled
working_memory,4.1,3.6,4.6,1.0,4.0,0.955,59.54,Cowan 2001,Informational (Φ³),Φ³,4.236,0.136000,96.682927,0.243902,0.078049
honeybee_waggle,4.13,3.68,4.58,0.9,0.52,0.965,25.2,Seeley 2010,Informational (Φ³),Φ³,4.236,0.106000,97.433414,0.242131,0.077482
cmb_quadrupole_anomaly,4.15,3.72,4.62,0.9,0.0012,0.968,42.8,Planck 2018; CMB low-ℓ quadrupole anomaly (axis of evil),Informational (Φ³),Φ³,4.236,0.086000,97.927711,0.240964,0.077108
synapse_release,4.2,3.75,4.65,0.9,0.48,0.973,72.23,Neher & Sakaba 2008,Informational (Φ³),Φ³,4.236,0.036000,99.142857,0.238095,0.076190
llm_gpt_125m,4.2,3.8,4.6,0.8,0.7,0.975,45.2,Synthetic LLM training trajectory (GPT-125M convergence),Informational (Φ³),Φ³,4.236,0.036000,99.142857,0.238095,0.076190
llm_gpt_350m,4.25,3.85,4.65,0.8,0.71,0.978,48.5,Synthetic LLM training trajectory (GPT-350M convergence),Informational (Φ³),Φ³,4.236,0.014000,99.670588,0.235294,0.075294
llm_gpt_1.3b,4.28,3.88,4.68,0.8,0.72,0.98,51.3,Synthetic LLM training trajectory (GPT-1.3B convergence),Informational (Φ³),Φ³,4.236,0.044000,98.971963,0.233645,0.074766
llm_llama_7b,4.32,3.92,4.72,0.8,0.74,0.982,54.8,Synthetic LLM training trajectory (LLaMA-7B convergence),Informational (Φ³),Φ³,4.236,0.084000,98.055556,0.231481,0.074074
llm_mistral_7.3b,4.33,3.93,4.73,0.8,0.73,0.983,56.1,Synthetic LLM training trajectory (Mistral-7.3B convergence),Informational (Φ³),Φ³,4.236,0.094000,97.829099,0.230947,0.073903
llm_claude_52b,4.35,3.95,4.75,0.8,0.76,0.985,58.2,Synthetic LLM training trajectory (Claude-52B convergence),Informational (Φ³),Φ³,4.236,0.114000,97.379310,0.229885,0.073563
climate_greenland,4.38,3.92,4.87,0.95,1.72,0.992,34.6,TIPMIP,Informational (Φ³),Φ³,4.236,0.144000,96.712329,0.228311,0.073059
seismic_rupture,4.85,4.3,5.4,1.1,0.75,0.981,148.72,Subduction data,Informational (Φ³),Φ³,4.236,0.614000,87.340206,0.206186,0.065979
blackhole_qpo,5.3,4.8,5.8,1.0,0.125,0.988,95.4,LIGO-Virgo,Informational (Φ³),Φ³,4.236,1.064000,79.924528,0.188679,0.060377
hubble_tension_local,5.68,5.22,6.18,0.96,67.4,0.982,68.5,Riess et al. 2022; Hubble tension (local H₀ vs CMB),Biological (Φ⁴),Φ⁴,6.854,1.174000,79.330986,0.176056,0.056338
llm_skill_emergence,6.0811821343356005,5.772726713122262,6.389669311632212,0.6169425985099499,4.716510467736563,0.9994883376556732,82.40848629720524,LLM skill emergence threshold,Biological (Φ⁴),Φ⁴,6.854,0.772818,87.291651,0.164442,0.052621
jades_early_galaxy_z13,6.12,5.68,6.58,0.9,320000000.0,0.988,82.4,JADES Collaboration 2023; z=13 galaxy formation speed (JWST),Biological (Φ⁴),Φ⁴,6.854,0.734000,88.006536,0.163399,0.052288
type_ia_sn_acceleration,6.35,5.88,6.85,0.97,0.55,0.992,92.8,Perlmutter et al. 1999; Type Ia SN acceleration onset,Biological (Φ⁴),Φ⁴,6.854,0.504000,92.062992,0.157480,0.050394
earthquake_aftershock_omori,7.82,7.28,8.38,1.1,5.5,0.978,68.4,Utsu et al. 1995 (J Phys Earth); Omori law aftershock cascade threshold,Biological (Φ⁴),Φ⁴,6.854,0.966000,87.647059,0.127877,0.040921
power_grid_blackout_2003,8.53,7.95,9.15,1.2,0.85,0.9825,74.6,Dobson et al. 2007 (Chaos); 2003 Northeast blackout cascade threshold,Biological (Φ⁴),Φ⁴,6.854,1.676000,80.351700,0.117233,0.037515
forest_fire_percolation,9.48,8.85,10.15,1.3,0.59,0.968,58.2,Drossel & Schwabl 1992 (Phys Rev Lett); Forest fire model percolation threshold,Climate (Φ⁵),Φ⁵,11.09,1.610000,83.016878,0.105485,0.033755
polymer_glass_transition,10.25,9.58,10.95,1.37,373.15,0.9885,82.5,Angell 1995 (Science); Polymer glass transition viscosity jump at Tg,Climate (Φ⁵),Φ⁵,11.09,0.840000,91.804878,0.097561,0.031220
supercritical_co2,12.35,11.58,13.18,1.6,7.38,0.9965,58.4,Span & Wagner 1996; Supercritical CO₂ phase transition,Climate (Φ⁵),Φ⁵,11.09,1.260000,89.797571,0.080972,0.025911
amazon_moisture,14.560428856124563,13.89913170116244,15.289579143600982,1.390447442438543,0.6169618835826125,0.9994152438291396,66.19689714996419,Amazon moisture retention threshold,Extreme (>Φ⁵),Beyond Φ⁵,,,,0.068679,0.021977
urban_heat,16.276030904088,15.435615025362926,16.991354470178052,1.555739444815126,0.3066506483551229,0.9994759126805306,64.63319381534124,Urban heat island canopy threshold,Extreme (>Φ⁵),Beyond Φ⁵,,,,0.061440,0.019661
thermohaline_collapse,17.23,16.42,18.11,1.69,0.18,0.9976,72.3,Rahmstorf 2002; Atlantic thermohaline circulation collapse threshold,Extreme (>Φ⁵),Beyond Φ⁵,,,,0.058038,0.018572
systemic_debt_2008,18.47,17.65,19.32,1.67,0.85,0.9982,78.6,Reinhart & Rogoff 2009; 2008 Financial Crisis debt feedback loop,Extreme (>Φ⁵),Beyond Φ⁵,,,,0.054142,0.017325
