system_name,domain,beta,beta_ci_lower,beta_ci_upper,r_theta_ratio,theta,field_type,sigmoid_type,beta_category,evidence_quality,data_source,notes,implosive_mechanism
Soil_Microbiome_Diversity,Biology,1.6,1.2,2.0,0.76,0.38,Type-1,classical,Low-β,Medium,Fierer_2012_Soil_Microbiome,Gradual diversity response to pH changes; no sharp boundary,N/A

# ──────────────────────────────────────────────────────────────
# FIELD NOTES
# ──────────────────────────────────────────────────────────────
# Low-β (<2.5): Characterized by distributed coupling, gradual transitions
#   - Often Type-1 (simple logistic)
#   - R/Θ ratios typically <0.9 (far from threshold)
#   - Classical sigmoid dynamics
#   - Examples: Mycelial networks, quantum vacuum, social diffusion
#
# High-β (>16.3): Characterized by sharp transitions, often cubic-root jumps
#   - Often Type-5 (critical phenomena) or Type-6 (implosive)
#   - R/Θ ratios often >1.0 (near or past threshold)
#   - May exhibit inverted sigmoid σ(-β(R-Θ))
#   - Examples: Urban heat, systemic debt, phase transitions
#
# Type-6 Implosive Mechanism:
#   - β(R) ∝ β₀ · ∛(R/Θ - 1) as R→Θ
#   - Inverted sigmoid with ζ(R)<0 (inward-pulling feedback)
#   - Explains extreme-β outliers (>15)
#   - Examples: Urban heat nocturnal trap, debt cascade, AMOC collapse
# ──────────────────────────────────────────────────────────────
